playerName,teamId,position,pass_rush_snaps
Adedayo Odeleye,0325,DE,12
Adetomiwa Adebawore,2200,DT,21
Adisa Isaac,0325,OLB,26
Adonai Mitchell,2200,WR,33
Aeneas Peebles,0325,DT,39
Ahmed Hassanein,1540,DE,19
Ajou Ajou,2200,WR,13
Al-Quadin Muhammad,1540,DE,13
Alex Johnson,2200,CB,22
Andre James,4400,C,14
Andrew Ogletree,2200,TE,13
Andrew Vorhees,0325,G,10
Anthony Gould,2200,WR,25
Anthony Miller,0325,WR,10
Anthony Pittman,1540,OLB,40
Anthony Richardson,2200,QB,5
Ashton Dulin,2200,WR,34
Austin Ajiake,2200,MLB,23
Avonte Maddox,1540,CB,15
Basil Okoye,0325,DT,34
Baylor Cupp,0325,TE,5
Beau Brade,0325,FS,33
Ben Cleveland,0325,G,18
Bilhal Kone,0325,DB,14
Blake Freeland,2200,T,75
Blayne Taylor,2200,WR,4
Branson Taylor,4400,G,35
Brenden Rice,4400,WR,9
Brent Urban,0325,DE,11
Brodric Martin,1540,DT,11
C.J. Ravenell,0325,DE,34
Caleb Murphy,4400,OLB,23
Cameron McGrone,2200,MLB,19
Carson Vinson,0325,T,46
Chandler Martin,0325,LB,33
Charlie Kolar,0325,TE,9
Chris Lammons,2200,CB,17
Chris Smith,1540,DT,24
Christopher Hinton,4400,DT,19
Colby Sorsdal,1540,T,20
Coleman Owen,2200,WR,36
Cooper Rush,0325,QB,10
Corey Bullock,0325,T,19
Corey Stewart,4400,T,58
Craig Reynolds,1540,RB,19
D'Ernest Johnson,0325,RB,32
D.J. Montgomery,2200,WR,25
DJ Giddens,2200,RB,20
DJ Uiagalelei,4400,QB,15
Da'Shawn Hand,4400,DE,4
DaRon Gilbert,1540,LB,3
Dalevon Campbell,4400,WR,27
Dalton Tucker,2200,G,52
Dan Jackson,1540,DB,33
Dan Skipper,1540,T,25
Daniel Faalele,0325,T,10
Daniel Jones,2200,QB,29
Daniel Scott,2200,FS,28
Danny Pinter,2200,C,18
Darrian Dalcourt,0325,G,21
David Ojabo,0325,OLB,34
Dayton Wade,0325,WR,22
Deane Leonard,4400,CB,13
Derius Davis,4400,WR,13
Desmond Igbinosun,0325,DB,10
Desmond Little,2200,DE,18
Devin Leary,0325,QB,46
Devonta Davis,2200,DT,13
Devontez Walker,0325,WR,39
Dez Fitzpatrick,4400,WR,11
Dicaprio Bootle,1540,CB,32
Dominic Lovett,1540,WR,31
Duke Shelley,2200,CB,28
Durell Nchami,2200,DE,34
Emany Johnson,4400,FS,25
Ennis Rakestraw Jr.,1540,CB,25
Eric Johnson,2200,DT,28
Eric Rogers,4400,DB,14
Erick Hallett,1540,SS,28
Ezekiel Turner,1540,ILB,43
Garrett Dellinger,0325,G,28
Gerad Lichtenhan,0325,T,37
Giovanni Manu,1540,T,20
Grant Stuard,1540,MLB,15
Hassan Haskins,4400,RB,16
Hendon Hooker,1540,QB,17
Hunter Wohler,2200,DB,28
Ian Kennelly,1540,DB,27
Isaac TeSlaa,1540,WR,28
Isaac Ukwu,1540,DE,22
Isaiah Land,2200,DE,33
JT Tuimoloau,2200,DE,30
Ja'Sir Taylor,4400,CB,25
JaQuae Jackson,4400,WR,19
Jabari Small,1540,RB,22
Jackson Meeks,1540,WR,19
Jacob Hummel,0325,ILB,9
