gameId,week,nflPlayId,nflPlayType,nflPlayDescription,nflPlayUrl,offensePlayer1,offensePlayer2,offensePlayer3,offensePlayer4,offensePlayer5,offensePlayer6,offensePlayer7,offensePlayer8,offensePlayer9,offensePlayer10,offensePlayer11,defensePlayer1,defensePlayer2,defensePlayer3,defensePlayer4,defensePlayer5,defensePlayer6,defensePlayer7,defensePlayer8,defensePlayer9,defensePlayer10,defensePlayer11
2025001,0,1,GAME_START,GAME,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=1,,,,,,,,,,,,,,,,,,,,,,
2025001,0,41,KICK_OFF,"C.Dicker kicks 63 yards from LAC 35 to DET 2. G.Stuard to DET 28 for 26 yards (K.Williamson; C.Murphy). FUMBLES (K.Williamson), RECOVERED by LAC-K.Williamson at DET 28.
The Replay Official reviewed the runner was not down by contact ruling, and the play was Upheld. The ruling on the field stands.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=41,Tony Jefferson (40737),Hassan Haskins (54596),Cameron Dicker (54900),Kana'i Mauga (54968),Kendall Williamson (56123),Caleb Murphy (56571),Junior Colson (57190),Kimani Vidal (57301),Brenden Rice (57345),Emany Johnson (57645),Eric Rogers (58913),Avonte Maddox (46194),Ezekiel Turner (46674),Rock Ya-Sin (47817),Anthony Pittman (48458),Grant Stuard (53688),Shane Zylstra (53739),Trevor Nowaske (56350),Mitchell Agude (56372),DaRon Gilbert (57558),Isaac TeSlaa (58275),Dominic Lovett (58449)
2025001,0,80,PASS,(14:51) T.Lance pass short right to W.Dissly pushed ob at DET 19 for 9 yards (T.Nowaske).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=80,Will Dissly (46189),Trey Pipkins (47874),Trey Lance (53432),Zion Johnson (54482),Jamaree Salyer (54660),Karsen Barnhart (57796),Omarion Hampton (58224),Tre Harris (58260),KeAndre Lambert-Smith (58363),Oronde Gadsden II (58370),Corey Stewart (58910),Zach Cunningham (44869),Al-Quadin Muhammad (45009),Pat O'Connor (45063),Avonte Maddox (46194),Rock Ya-Sin (47817),Raequan Williams (52909),Grant Stuard (53688),Trevor Nowaske (56350),Chris Smith (56351),Ennis Rakestraw Jr. (57182),Loren Strickland (57562)
2025001,0,154,PENALTY,"(14:18) O.Hampton up the middle to DET 17 for 2 yards (T.Nowaske; P.O'Connor).
PENALTY on DET-T.Nowaske, Defensive Offside, 6 yards, enforced at DET 19 - No Play.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=154,Will Dissly (46189),Trey Pipkins (47874),Trey Lance (53432),Zion Johnson (54482),Jamaree Salyer (54660),Scott Matlock (56065),Karsen Barnhart (57796),Omarion Hampton (58224),Tre Harris (58260),KeAndre Lambert-Smith (58363),Corey Stewart (58910),Zach Cunningham (44869),Al-Quadin Muhammad (45009),Pat O'Connor (45063),Avonte Maddox (46194),Rock Ya-Sin (47817),Raequan Williams (52909),Grant Stuard (53688),Trevor Nowaske (56350),Chris Smith (56351),Ennis Rakestraw Jr. (57182),Loren Strickland (57562)
2025001,0,187,RUSH,(14:07) (Shotgun) O.Hampton right guard to DET 5 for 8 yards (L.Strickland; E.Hallett).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=187,Trey Pipkins (47874),Trey Lance (53432),Zion Johnson (54482),Jamaree Salyer (54660),Derius Davis (55990),Karsen Barnhart (57796),Omarion Hampton (58224),Tre Harris (58260),KeAndre Lambert-Smith (58363),Oronde Gadsden II (58370),Corey Stewart (58910),Zach Cunningham (44869),Al-Quadin Muhammad (45009),Pat O'Connor (45063),Avonte Maddox (46194),Rock Ya-Sin (47817),Grant Stuard (53688),Erick Hallett (56073),Chris Smith (56351),Ennis Rakestraw Jr. (57182),Loren Strickland (57562),Ahmed Hassanein (58401)
2025001,0,209,RUSH,"(13:28) T.Lance FUMBLES (Aborted) at DET 6, and recovers at DET 6. T.Lance to DET 6 for no gain (G.Stuard).",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=209,Will Dissly (46189),Trey Pipkins (47874),Trey Lance (53432),Zion Johnson (54482),Jamaree Salyer (54660),Tucker Fisk (55233),Scott Matlock (56065),Karsen Barnhart (57796),Omarion Hampton (58224),KeAndre Lambert-Smith (58363),Corey Stewart (58910),Zach Cunningham (44869),Al-Quadin Muhammad (45009),Pat O'Connor (45063),Avonte Maddox (46194),Rock Ya-Sin (47817),Raequan Williams (52909),Grant Stuard (53688),Trevor Nowaske (56350),Chris Smith (56351),Ennis Rakestraw Jr. (57182),Loren Strickland (57562)
2025001,0,236,RUSH,(12:54) (Shotgun) O.Hampton left end to DET 5 for 1 yard (R.Ya-Sin).,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=236,Will Dissly (46189),Trey Pipkins (47874),Trey Lance (53432),Zion Johnson (54482),Jamaree Salyer (54660),Derius Davis (55990),Karsen Barnhart (57796),Omarion Hampton (58224),Tre Harris (58260),KeAndre Lambert-Smith (58363),Corey Stewart (58910),Zach Cunningham (44869),Al-Quadin Muhammad (45009),Pat O'Connor (45063),Avonte Maddox (46194),Rock Ya-Sin (47817),Grant Stuard (53688),Erick Hallett (56073),Chris Smith (56351),Ennis Rakestraw Jr. (57182),Loren Strickland (57562),Ahmed Hassanein (58401)
2025001,0,258,PASS,"(12:15) T.Lance pass short right to W.Dissly for 5 yards, TOUCHDOWN.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=258,Will Dissly (46189),Trey Pipkins (47874),Trey Lance (53432),Zion Johnson (54482),Jamaree Salyer (54660),Tucker Fisk (55233),Scott Matlock (56065),Karsen Barnhart (57796),Omarion Hampton (58224),KeAndre Lambert-Smith (58363),Corey Stewart (58910),Zach Cunningham (44869),Al-Quadin Muhammad (45009),Pat O'Connor (45063),Avonte Maddox (46194),Rock Ya-Sin (47817),Raequan Williams (52909),Grant Stuard (53688),Trevor Nowaske (56350),Chris Smith (56351),Ennis Rakestraw Jr. (57182),Loren Strickland (57562)
2025001,0,284,XP_KICK,"C.Dicker extra point is GOOD, Center-J.Harris, Holder-J.Scott.",https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=284,Josh Harris (38785),Will Dissly (46189),J.K. Scott (46241),Trey Pipkins (47874),Andre James (48235),Zion Johnson (54482),Jamaree Salyer (54660),Cameron Dicker (54900),Tucker Fisk (55233),Ryan Nelson (55337),Scott Matlock (56065),Al-Quadin Muhammad (45009),Rock Ya-Sin (47817),Anthony Pittman (48458),Grant Stuard (53688),Trevor Nowaske (56350),Chris Smith (56351),Ennis Rakestraw Jr. (57182),Morice Norris Jr. (57567),Ahmed Hassanein (58401),Dan Jackson (58435),Keith Cooper (59008)
2025001,0,309,TIMEOUT,Timeout at 12:11.,https://pro.nfl.com/api/plays/summaryPlay?gameId=7af5a3a2-3ca3-11f0-b670-ae1250fadad1&playId=309,,,,,,,,,,,,,,,,,,,,,,
